photo_id	image	entity	hard	photo_url	taxon	source_split	selection_group	target_label	needs_bbox_markup
624779576	https://inaturalist-open-data.s3.amazonaws.com/photos/624779576/original.jpg	bee	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624779576/original.jpg	bee	train	negative	negative	False
624274153	https://inaturalist-open-data.s3.amazonaws.com/photos/624274153/original.jpg	beetle	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624274153/original.jpg	beetle	train	negative	negative	False
624469142	https://inaturalist-open-data.s3.amazonaws.com/photos/624469142/original.jpg	beetle	True	https://inaturalist-open-data.s3.amazonaws.com/photos/624469142/original.jpg	beetle	train	negative	negative	False
624549626	https://inaturalist-open-data.s3.amazonaws.com/photos/624549626/original.jpg	beetle	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624549626/original.jpg	beetle	train	negative	negative	False
620141299	https://inaturalist-open-data.s3.amazonaws.com/photos/620141299/original.jpg	butterfly	False	https://inaturalist-open-data.s3.amazonaws.com/photos/620141299/original.jpg	butterfly	train	positive	butterfly	True
624462508	https://inaturalist-open-data.s3.amazonaws.com/photos/624462508/original.jpg	beetle	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624462508/original.jpg	beetle	train	negative	negative	False
624927546	https://inaturalist-open-data.s3.amazonaws.com/photos/624927546/original.jpg	beetle	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624927546/original.jpg	beetle	train	negative	negative	False
624113862	https://inaturalist-open-data.s3.amazonaws.com/photos/624113862/original.jpg	bee	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624113862/original.jpg	bee	train	negative	negative	False
624912630	https://inaturalist-open-data.s3.amazonaws.com/photos/624912630/original.jpg	flower	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624912630/original.jpg	flower	train	negative	negative	False
624366377	https://inaturalist-open-data.s3.amazonaws.com/photos/624366377/original.jpg	butterfly	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624366377/original.jpg	butterfly	train	positive	butterfly	True
624927360	https://inaturalist-open-data.s3.amazonaws.com/photos/624927360/original.jpg	flower	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624927360/original.jpg	flower	train	negative	negative	False
621816019	https://inaturalist-open-data.s3.amazonaws.com/photos/621816019/original.jpg	butterfly	False	https://inaturalist-open-data.s3.amazonaws.com/photos/621816019/original.jpg	butterfly	train	positive	butterfly	True
624327834	https://inaturalist-open-data.s3.amazonaws.com/photos/624327834/original.jpg	beetle	False	https://inaturalist-open-data.s3.amazonaws.com/photos/624327834/original.jpg	beetle	train	negative	negative	False
581481721	https://inaturalist-open-data.s3.amazonaws.com/photos/581481721/original.jpg	shrub	False	https://inaturalist-open-data.s3.amazonaws.com/photos/581481721/original.jpg	shrub	train	negative	negative	False
586877198	https://inaturalist-open-data.s3.amazonaws.com/photos/586877198/original.jpg	shrub	True	https://inaturalist-open-data.s3.amazonaws.com/photos/586877198/original.jpg	shrub	train	negative	negative	False
547310358	https://inaturalist-open-data.s3.amazonaws.com/photos/547310358/original.jpg	shrub	False	https://inaturalist-open-data.s3.amazonaws.com/photos/547310358/original.jpg	shrub	train	negative	negative	False
622031195	https://inaturalist-open-data.s3.amazonaws.com/photos/622031195/original.jpg	butterfly	False	https://inaturalist-open-data.s3.amazonaws.com/photos/622031195/original.jpg	butterfly	train	positive	butterfly	True
521595052	https://inaturalist-open-data.s3.amazonaws.com/photos/521595052/original.jpg	shrub	False	https://inaturalist-open-data.s3.amazonaws.com/photos/521595052/original.jpg	shrub	train	negative	negative	False
624902737	https://inaturalist-open-data.s3.amazonaws.com/photos/624902737/original.jpg	flower	True	https://inaturalist-open-data.s3.amazonaws.com/photos/624902737/original.jpg	flower	train	negative	negative	False
623922030	https://inaturalist-open-data.s3.amazonaws.com/photos/623922030/original.jpg	butterfly	False	https://inaturalist-open-data.s3.amazonaws.com/photos/623922030/original.jpg	butterfly	train	positive	butterfly	True
623975179	https://inaturalist-open-data.s3.amazonaws.com/photos/623975179/original.jpg	bee	False	https://inaturalist-open-data.s3.amazonaws.com/photos/623975179/original.jpg	bee	train	negative	negative	False
622576594	https://inaturalist-open-data.s3.amazonaws.com/photos/622576594/original.jpg	butterfly	False	https://inaturalist-open-data.s3.amazonaws.com/photos/622576594/original.jpg	butterfly	train	positive	butterfly	True
621354393	https://inaturalist-open-data.s3.amazonaws.com/photos/621354393/original.jpg	butterfly	True	https://inaturalist-open-data.s3.amazonaws.com/photos/621354393/original.jpg	butterfly	train	positive	butterfly	True
